year,month,month_name,total_accidents,mean_daily_accidents,mean_fatal_share,mean_serious_or_fatal_share,mean_rain_mm,mean_max_temp_c,mean_cloud_cover_pct,mean_wind_speed_kmh,mean_weather_locations,month_start
2015,5,May,11441,369.06451612903226,0.01235689262416847,0.1671609373530451,2.615102930802283,13.824344257038415,59.372538959789644,19.71910472647983,503.0,2015-05-01
2015,6,Jun,12058,401.93333333333334,0.011464691648651371,0.1553565685305113,1.5904903909874089,17.450231941683235,49.471968190854874,16.778595096090125,503.0,2015-06-01
2015,7,Jul,12771,411.96774193548384,0.0116186617315961,0.1537591966367127,3.0132751875841723,18.947540563073176,52.80170589367024,17.446225870582953,503.0,2015-07-01
2015,8,Aug,11470,370.0,0.013868523931310045,0.17206840686079058,3.5712114410312323,19.268517924709805,52.784069774898995,15.845699993586866,503.0,2015-08-01
2015,9,Sep,12201,406.7,0.009967019599987545,0.15417857433194035,1.761895294897283,16.287210072895956,47.37196819085487,15.430019880715706,503.0,2015-09-01
2015,10,Oct,12409,400.2903225806452,0.012336319168325501,0.16169122648312442,1.8693594576931651,14.19030326489603,54.09527079713221,15.643522123785704,503.64516129032256,2015-10-01
2015,11,Nov,12378,412.6,0.011539225035344769,0.15584358092786088,3.167566650362376,12.05671092492663,66.24693637119084,23.238836294402894,503.4,2015-11-01
2015,12,Dec,11630,375.16129032258067,0.014567974115158998,0.16427334763434823,4.0609504264734175,11.042519079073944,69.66773552234977,25.448662861540434,503.0,2015-12-01
2016,1,Jan,11688,377.03225806451616,0.011759865224019624,0.1591356322016739,3.6221188995061886,7.84736740845251,63.59327903546463,22.03456679279164,503.0,2016-01-01
2016,2,Feb,10299,367.82142857142856,0.012481460526101619,0.15790608049462906,2.237311843226356,7.688582788980404,60.19511502414087,22.00972735018461,503.0,2016-02-01
2016,3,Mar,10836,349.5483870967742,0.012505274705842862,0.16383706914834162,2.31915603155262,9.133393189251587,54.124991983582376,17.71718078625024,503.0,2016-03-01
2016,4,Apr,10592,353.06666666666666,0.01290572687667275,0.1593539456693873,2.314923790589795,10.858648111332007,58.86739562624255,16.986348575215374,503.0,2016-04-01
2016,5,May,11482,370.38709677419354,0.012885650585784943,0.17446505453937494,1.8084717501442955,15.34079394600141,51.70012184954788,14.71230680433528,503.0,2016-05-01
2016,6,Jun,11046,368.2,0.012694201131068334,0.1703168774434139,3.4028230616302184,17.548508946322066,64.41457919151756,12.724453280318093,503.0,2016-06-01
2016,7,Jul,11777,379.9032258064516,0.012031589000225697,0.18471576474395987,1.747572628743667,19.045982171487207,59.34816905021484,14.798948246007823,503.0,2016-07-01
2016,8,Aug,11461,369.7096774193548,0.013021621853953896,0.18092645252077572,2.0809978836657472,19.995126018085035,50.277303918424934,15.485281857243635,503.0,2016-08-01
2016,9,Sep,11571,385.7,0.012420286962434478,0.18111805658804028,2.083280318091451,18.910536779324055,53.975215374420145,15.975347912524851,503.0,2016-09-01
2016,10,Oct,11624,374.96774193548384,0.012330637907521183,0.17894451787575325,1.102610692730458,13.735352859799727,53.72001719839692,14.701452829362788,503.64516129032256,2016-10-01
2016,11,Nov,12741,424.7,0.011540245612910767,0.16780010037176968,2.5522598009824646,8.780550690565601,53.92719305857974,16.43246473539714,503.4,2016-11-01
2016,12,Dec,11146,359.5483870967742,0.01566655007920883,0.17462017837188662,1.0284935548002307,8.858846918489066,57.73565061245431,15.807157057654075,503.0,2016-12-01
2017,1,Jan,11147,359.5806451612903,0.012077859328068279,0.1717446942357823,1.9240684922721736,6.780286025780799,58.58526261784134,15.836144423779901,503.0,2017-01-01
2017,2,Feb,9740,347.85714285714283,0.013658508337130112,0.17444790290034898,2.12659755751207,8.254757171258165,71.53351320647543,19.919696109059924,503.0,2017-02-01
2017,3,Mar,10806,348.5806451612903,0.010900977922373508,0.18050824404260427,2.1465785929583787,10.984993266209196,59.86320784967614,18.036298338998268,503.0,2017-03-01
2017,4,Apr,9773,325.76666666666665,0.011292905111763651,0.19072532033777176,0.7125314777998675,11.91921802518224,54.053412856196154,14.520410868124587,503.0,2017-04-01
2017,5,May,10922,352.3225806451613,0.012312512779993871,0.19432271852951358,2.1731417943949207,16.05239530558584,53.27127557237222,14.469633810042968,503.0,2017-05-01
2017,6,Jun,11130,371.0,0.012510671107702065,0.19699951152766973,2.8697481776010605,18.493174287607687,60.705500331345256,16.341351888667994,503.0,2017-06-01
2017,7,Jul,11450,369.35483870967744,0.011220594110646392,0.19520632918471736,2.9879689604309623,19.416725453729235,55.575578785352405,14.613352145193355,503.0,2017-07-01
2017,8,Aug,10301,332.2903225806452,0.015433551579111112,0.19629399298277833,2.7126274610402104,19.063361764894502,50.85673058423652,14.042775604437889,503.0,2017-08-01
2017,9,Sep,11091,369.7,0.013713454484654875,0.18561035860319225,3.0100397614314116,16.524320742213387,57.739430086149774,15.681643472498342,503.0,2017-09-01
2017,10,Oct,11194,361.0967741935484,0.017323196937896523,0.186493631117713,1.6530774518276923,14.897684680447778,61.10874715862531,18.86814481772957,503.64516129032256,2017-10-01
2017,11,Nov,11958,398.6,0.013803165652455445,0.18495717240035767,2.03621192159214,9.853417063755037,55.7650024456436,16.665969132296173,503.4,2017-11-01
2017,12,Dec,10470,337.741935483871,0.015486801408178947,0.1802024752483954,2.9336561277496314,7.72243955621112,60.793432950683,18.194189700506637,503.0,2017-12-01
2018,1,Jan,10115,326.2903225806452,0.012869268689034102,0.1835971046151928,2.679901237734881,7.853524017187199,60.12973770281537,20.105688449945486,503.0,2018-01-01
2018,2,Feb,9256,330.57142857142856,0.012255809087419588,0.18661712961512875,1.5790400454416358,5.833001988071571,50.96662879863675,17.91351888667992,503.0,2018-02-01
2018,3,Mar,8930,288.06451612903226,0.012883688231741812,0.18445216211567922,3.3919515167062144,7.418328737253896,71.17796447123709,17.842493426537548,503.0,2018-03-01
2018,4,Apr,9037,301.23333333333335,0.014341836925420907,0.20695434992730552,2.6345858184227966,12.376805831676608,60.441882041086814,15.683233929754804,503.0,2018-04-01
2018,5,May,11050,356.4516129032258,0.013995344117896281,0.20725984206994522,1.9375360738793048,17.256461232604373,40.2427371256333,12.325787212210608,503.0,2018-05-01
2018,6,Jun,10995,366.5,0.01149050972714667,0.2129670763315089,0.7268455931080186,19.804572564612325,39.76878727634195,12.130086149768058,503.0,2018-06-01
2018,7,Jul,10985,354.35483870967744,0.013180712727750248,0.2102363667285459,1.5343615725004809,22.653690758673765,39.35451805297249,11.20239851215289,503.0,2018-07-01
2018,8,Aug,9679,312.2258064516129,0.01492989183007027,0.2124313473131724,2.405906496504842,20.03398961072276,50.98723786314372,13.321105624318603,503.0,2018-08-01
2018,9,Sep,10495,349.8333333333333,0.013892028161583489,0.20829302027404253,1.8590125911199469,17.1181577203446,47.810337972167,16.06573889993373,503.0,2018-09-01
2018,10,Oct,10897,351.51612903225805,0.016402373006220716,0.20718737078243693,2.001195884091254,14.245749262744068,45.48585229534213,16.589217002134657,503.64516129032256,2018-10-01
2018,11,Nov,11168,372.26666666666665,0.014220452829398312,0.19692393152718102,2.9627244995634654,10.613831429412942,60.596121419630364,19.087328410489445,503.4,2018-11-01
2018,12,Dec,10028,323.48387096774195,0.01796570794372736,0.20614419138191098,2.8113961392932727,9.292118258192778,65.35823767074969,17.82742256140576,503.0,2018-12-01
2019,1,Jan,9371,302.2903225806452,0.018081572233967513,0.19977104538048668,1.1227409735137561,6.609696658757135,59.123388700057724,16.010774065285705,503.0,2019-01-01
2019,2,Feb,8838,315.64285714285717,0.01544195390628422,0.20021989564003956,1.7314967338824196,10.221456972451008,46.23075830729906,17.381780744106788,503.0,2019-02-01
2019,3,Mar,9427,304.0967741935484,0.013112917276221422,0.20391502967460906,2.6858846918489068,10.664015904572565,59.88315269672289,19.999871737318028,503.0,2019-03-01
2019,4,Apr,8899,296.6333333333333,0.016232661314499117,0.2174690310958941,1.8667461895294897,12.839562624254475,48.99582504970179,15.968323392975481,503.0,2019-04-01
2019,5,May,9758,314.7741935483871,0.012670395799178625,0.21528980513171866,1.9136407362277947,14.619701147951004,50.32136214968255,13.002950041685372,503.0,2019-05-01
2019,6,Jun,9942,331.4,0.01112012360764278,0.21120281919921421,3.9109277667329354,17.20728959575878,54.66693174287607,15.025579854208084,503.0,2019-06-01
2019,7,Jul,10325,333.06451612903226,0.016089355974322265,0.22068680459779877,2.340806772269608,20.397101263387416,48.759058551914315,12.937984993266209,503.0,2019-07-01
2019,8,Aug,9534,307.5483870967742,0.014207892946498815,0.22871975043921,2.9024562303597765,20.094273071249923,46.75129865965498,15.72263195023408,503.0,2019-08-01
2019,9,Sep,10222,340.73333333333335,0.014506951250287427,0.22327146379460622,3.5034459907223328,17.394367130550034,49.41020543406229,15.777203445990722,503.0,2019-09-01
2019,10,Oct,10311,332.61290322580646,0.013221173104622832,0.20980847856872142,3.9393292574303285,12.87963399836516,57.27890898337573,16.536357635039735,503.64516129032256,2019-10-01
2019,11,Nov,10937,364.56666666666666,0.012720271882092515,0.1948311073326364,3.857393522463105,8.795302917942083,68.05003878843341,16.093604116044474,503.4,2019-11-01
2019,12,Dec,9972,321.6774193548387,0.016418088651025876,0.20953573097286354,3.1672609504264733,8.267876611299942,56.05810299493363,18.00577182068877,503.0,2019-12-01
2020,1,Jan,9591,309.38709677419354,0.016453766456600228,0.2055366437528937,2.2886102738408263,8.359840954274354,61.97941383954338,18.009555569806963,503.0,2020-01-01
2020,2,Feb,8243,294.39285714285717,0.014097904730941465,0.20070688899609285,4.521073558648111,8.309855154785572,66.74886395910252,25.39562624254473,503.0,2020-02-01
2020,3,Mar,6551,211.32258064516128,0.017771810401050234,0.22543566139478272,1.6342140704162125,8.9384980439941,56.09985249791573,19.50971589815943,503.0,2020-03-01
2020,4,Apr,3298,109.93333333333334,0.024405248515436333,0.2513901061443742,1.1316766070245194,13.567461895294896,44.82306163021869,13.783830351225978,503.0,2020-04-01
2020,5,May,5599,180.61290322580646,0.015986959554452906,0.24780869971439878,0.5690502148399923,16.012505611492337,42.24292951965625,14.349002757647662,503.0,2020-05-01
2020,6,Jun,6721,224.03333333333333,0.015063934811651056,0.22377505527680716,3.1380450629556,17.898343273691186,61.71192842942346,15.333333333333334,503.0,2020-06-01
2020,7,Jul,8157,263.1290322580645,0.01646290398008483,0.22032587049323069,2.2704931700121853,18.334060155197843,62.64753414993908,15.017251330725326,503.0,2020-07-01
2020,8,Aug,8875,286.2903225806452,0.016363037888776688,0.23098570557245138,3.8075803245045856,20.344192907073687,61.53434233309819,14.742833322644778,503.0,2020-08-01
2020,9,Sep,9258,308.6,0.014642935196108214,0.2229068475611141,1.6082902584493042,17.45659377070908,48.02246520874751,14.58807157057654,503.0,2020-09-01
2020,10,Oct,8865,285.96774193548384,0.012842369335164496,0.2052804661864538,4.752269015197092,12.691291192934559,70.93989379137363,18.11987598220203,503.64516129032256,2020-10-01
2020,11,Nov,7610,253.66666666666666,0.01492592148226051,0.21725909371643948,2.163146399381489,10.965609648984401,65.11924208715958,16.9108916606183,503.4,2020-11-01
2020,12,Dec,8128,262.19354838709677,0.015566090624381647,0.2042505198782289,4.1971846341307,7.19168857820817,69.6080292438915,16.839415122170205,503.0,2020-12-01
